job_type,average_salary
Accountants and Auditors,"86,740"
"Actors, Producers, and Directors","101,370"
Actuaries,"127,580"
Acupuncturists,"82,390"
Adhesive Bonding Machine Operators and Tenders,"40,100"
"Administrative Law Judges, Adjudicators, and Hearing Officers","97,250"
Administrative Services and Facilities Managers,"112,440"
Administrative Services Managers,"115,640"
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","63,130"
Advertising and Promotions Managers,"147,050"
Advertising Sales Agents,"73,260"
"Advertising, Marketing, Promotions, Public Relations, and Sales Managers","152,320"
Aerospace Engineering and Operations Technologists and Technicians,"77,060"
Aerospace Engineers,"127,090"
"Agents and Business Managers of Artists, Performers, and Athletes","120,100"
Agricultural and Food Science Technicians,"48,610"
Agricultural and Food Scientists,"81,250"
Agricultural Engineers,"90,710"
Agricultural Equipment Operators,"39,750"
Agricultural Inspectors,"49,020"
"Agricultural Sciences Teachers, Postsecondary","96,650"
Agricultural Technicians,"45,640"
Agricultural Workers,"35,440"
"Agricultural Workers, All Other","39,180"
Air Traffic Controllers,"130,840"
Air Traffic Controllers and Airfield Operations Specialists,"103,460"
Air Transportation Workers,"131,630"
Aircraft Cargo Handling Supervisors,"61,150"
Aircraft Mechanics and Service Technicians,"72,640"
Aircraft Pilots and Flight Engineers,"189,620"
Aircraft Service Attendants,"39,400"
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers","60,110"
Airfield Operations Specialists,"64,050"
"Airline Pilots, Copilots, and Flight Engineers","225,740"
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians","33,570"
Amusement and Recreation Attendants,"28,350"
Anesthesiologists,"302,970"
Animal Breeders,"48,650"
Animal Care and Service Workers,"32,780"
Animal Caretakers,"32,160"
Animal Control Workers,"43,780"
Animal Scientists,"85,870"
Animal Trainers,"41,820"
Anthropologists and Archeologists,"68,310"
"Anthropology and Archeology Teachers, Postsecondary","98,940"
"Arbitrators, Mediators, and Conciliators","98,920"
"Architects, Except Landscape and Naval","96,510"
"Architects, Except Naval","93,810"
"Architects, Surveyors, and Cartographers","86,670"
Architectural and Civil Drafters,"61,660"
Architectural and Engineering Managers,"163,310"
Architecture and Engineering Occupations,"94,670"
"Architecture Teachers, Postsecondary","104,370"
Archivists,"63,980"
"Archivists, Curators, and Museum Technicians","60,900"
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary","92,980"
Art and Design Workers,"65,180"
Art Directors,"124,310"
"Art, Drama, and Music Teachers, Postsecondary","93,440"
Artists and Related Workers,"108,050"
"Artists and Related Workers, All Other","74,130"
"Arts, Communications, History, and Humanities Teachers, Postsecondary","88,260"
"Arts, Design, Entertainment, Sports, and Media Occupations","76,500"
Assemblers and Fabricators,"41,420"
Astronomers,"127,460"
Astronomers and Physicists,"147,800"
Athletes and Sports Competitors,"358,080"
"Athletes, Coaches, Umpires, and Related Workers","71,730"
Athletic Trainers,"57,810"
Atmospheric and Space Scientists,"93,610"
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","107,540"
Audio and Video Technicians,"57,710"
Audiologists,"89,490"
Audiovisual Equipment Installers and Repairers,"48,450"
Automotive and Watercraft Service Attendants,"32,340"
Automotive Body and Related Repairers,"53,220"
Automotive Glass Installers and Repairers,"43,900"
Automotive Service Technicians and Mechanics,"49,690"
Automotive Technicians and Repairers,"50,170"
Avionics Technicians,"74,730"
Baggage Porters and Bellhops,"33,130"
"Baggage Porters, Bellhops, and Concierges","36,140"
Bailiffs,"54,680"
"Bailiffs, Correctional Officers, and Jailers","54,760"
Bakers,"34,140"
Barbers,"39,350"
"Barbers, Hairdressers, Hairstylists and Cosmetologists","38,930"
Bartenders,"34,490"
Bicycle Repairers,"36,770"
Bill and Account Collectors,"42,820"
Billing and Posting Clerks,"44,800"
Biochemists and Biophysicists,"114,740"
Bioengineers and Biomedical Engineers,"108,060"
"Biological Science Teachers, Postsecondary","97,800"
Biological Scientists,"96,460"
"Biological Scientists, All Other","95,920"
Biological Technicians,"53,560"
Boilermakers,"69,780"
"Bookkeeping, Accounting, and Auditing Clerks","47,440"
Brickmasons and Blockmasons,"62,380"
"Brickmasons, Blockmasons, and Stonemasons","61,400"
Bridge and Lock Tenders,"46,910"
Broadcast Announcers and Radio Disc Jockeys,"155,730"
Broadcast Technicians,"84,860"
"Broadcast, Sound, and Lighting Technicians","69,190"
Brokerage Clerks,"59,200"
Budget Analysts,"87,680"
Building and Grounds Cleaning and Maintenance Occupations,"35,900"
Building Cleaning and Pest Control Workers,"33,730"
Building Cleaning Workers,"33,470"
"Building Cleaning Workers, All Other","41,360"
Bus and Truck Mechanics and Diesel Engine Specialists,"56,140"
"Bus Drivers, School","42,400"
"Bus Drivers, Transit and Intercity","53,920"
Business and Financial Operations Occupations,"86,080"
Business Operations Specialists,"83,280"
"Business Operations Specialists, All Other","82,670"
"Business Teachers, Postsecondary","108,060"
Butchers and Meat Cutters,"38,200"
"Butchers and Other Meat, Poultry, and Fish Processing Workers","36,230"
Buyers and Purchasing Agents,"75,140"
Cabinetmakers and Bench Carpenters,"42,120"
Calibration Technologists and Technicians,"67,200"
Camera and Photographic Equipment Repairers,"46,870"
"Camera Operators, Television, Video, and Film","69,940"
"Captains, Mates, and Pilots of Water Vessels","104,190"
Cardiologists,"421,330"
Cardiovascular Technologists and Technicians,"65,490"
"Career/Technical Education Teachers, Middle School","67,680"
"Career/Technical Education Teachers, Postsecondary","65,500"
"Career/Technical Education Teachers, Secondary School","67,610"
Cargo and Freight Agents,"49,740"
Carpenters,"58,210"
Carpet Installers,"49,520"
"Carpet, Floor, and Tile Installers and Finishers","52,880"
Cartographers and Photogrammetrists,"75,300"
Cashiers,"28,760"
Cashiers,"28,730"
Cement Masons and Concrete Finishers,"53,890"
